CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-01-21 00:00,cm,74,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-01-22 00:00,cm,403,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-01-22 00:00,cm,55,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-01-23 00:00,cm,417,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-01-23 00:00,cm,39,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-01-24 00:00,cm,426,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-01-24 00:00,cm,22,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-01-25 00:00,cm,417,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-01-25 00:00,cm,9,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-01-26 00:00,cm,423,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-01-26 00:00,cm,24,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-01-27 00:00,cm,418,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-01-27 00:00,cm,27,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-01-28 00:00,cm,404,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-01-28 00:00,cm,47,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-01-29 00:00,cm,400,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-01-29 00:00,cm,66,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-01-30 00:00,cm,384,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-01-30 00:00,cm,87,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-01-31 00:00,cm,366,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-01-31 00:00,cm,103,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel máximo diario,2016-02-01 00:00,cm,345,Preliminar
53119010,BUENAVENTURA IDEAM  - AUT [53119010],NIVEL,Nivel mínimo diario,2016-02-01 00:00,cm,112,Preliminar
