"fechaobservacion","valorobservado","nombreestacion","codigoestacion","latitud","longitud","unidadmedida"
"2012-10-05T04:00:00.000","2.039","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-05T05:00:00.000","2.033","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-05T06:00:00.000","2.032","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-05T07:00:00.000","2.041","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-05T08:00:00.000","2.045","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-05T09:00:00.000","2.056","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-05T10:00:00.000","2.066","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-05T11:00:00.000","2.089","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-05T12:00:00.000","2.143","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-05T13:00:00.000","2.162","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-05T14:00:00.000","2.18","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-05T15:00:00.000","2.219","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-05T16:00:00.000","2.266","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-05T17:00:00.000","2.331","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-05T18:00:00.000","2.299","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-05T19:00:00.000","2.195","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-05T20:00:00.000","2.182","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-05T21:00:00.000","2.102","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-05T22:00:00.000","2.053","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-05T23:00:00.000","2.031","TESORO INVEMAR","0014017001","10.235","-75.741","m"
"2012-10-06T00:00:00.000","2.032","TESORO INVEMAR","0014017001","10.235","-75.741","m"
