"serie_generador","dane_nom_poblad","energia_generada","identificador_empresa","ano","periodo","marca","fecha","dane_nom_dpto","nombre_localidad","dane_nom_mpio","horometro","codigo_localidad","capacidad_generacion","tipo_medida","nombre","tiempo_servicio"
"0","ISLA FUERTE","175","48907","2022","2","CATERPILLAR","2022-02-21T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","99","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","1.45"
"0","ISLA FUERTE","210","48907","2022","2","CATERPILLAR","2022-02-22T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","100","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","1.45"
"0","ISLA FUERTE","802","48907","2022","2","CATERPILLAR","2022-02-23T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","107","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","6.75"
"0","ISLA FUERTE","608","48907","2022","2","CATERPILLAR","2022-02-24T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","113","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","6.50"
"0","ISLA FUERTE","653","48907","2022","2","CATERPILLAR","2022-02-25T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","119","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","5.75"
"0","ISLA FUERTE","588","48907","2022","2","CATERPILLAR","2022-02-26T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","124","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","5.25"
"0","ISLA FUERTE","451","48907","2022","2","CATERPILLAR","2022-02-27T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","128","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","4.00"
"0","ISLA FUERTE","291","48907","2022","2","CATERPILLAR","2022-02-28T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","131","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","2.45"
"0","ISLA FUERTE","324.66","48907","2022","3","CATERPILLAR","2022-03-01T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","132","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","1.00"
"0","ISLA FUERTE","501.74","48907","2022","3","CATERPILLAR","2022-03-02T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","133","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","1.26"
"0","ISLA FUERTE","619.8","48907","2022","3","CATERPILLAR","2022-03-03T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","135","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","1.55"
"0","ISLA FUERTE","531.26","48907","2022","3","CATERPILLAR","2022-03-04T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","136","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","1.33"
"0","ISLA FUERTE","0","48907","2022","3","CATERPILLAR","2022-03-05T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","136","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","0.00"
"0","ISLA FUERTE","708.34","48907","2022","3","CATERPILLAR","2022-03-06T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","138","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","1.78"
"0","ISLA FUERTE","0","48907","2022","3","CATERPILLAR","2022-03-07T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","138","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","0.00"
"0","ISLA FUERTE","147.57","48907","2022","3","CATERPILLAR","2022-03-08T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","139","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","1.00"
"0","ISLA FUERTE","0","48907","2022","3","CATERPILLAR","2022-03-09T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","139","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","0.00"
"0","ISLA FUERTE","118.06","48907","2022","3","CATERPILLAR","2022-03-10T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","139","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","0.50"
"0","ISLA FUERTE","0","48907","2022","3","CATERPILLAR","2022-03-11T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","139","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","0.00"
"0","ISLA FUERTE","0","48907","2022","3","CATERPILLAR","2022-03-12T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","139","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","0.00"
"0","ISLA FUERTE","0","48907","2022","3","CATERPILLAR","2022-03-13T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","139","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","0.00"
"0","ISLA FUERTE","0","48907","2022","3","CATERPILLAR","2022-03-14T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","139","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","0.00"
"0","ISLA FUERTE","0","48907","2022","3","CATERPILLAR","2022-03-15T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","139","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","0.00"
"0","ISLA FUERTE","708.34","48907","2022","3","CATERPILLAR","2022-03-16T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","141","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","1.78"
"0","ISLA FUERTE","0","48907","2022","3","CATERPILLAR","2022-03-17T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","141","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","0.00"
"0","ISLA FUERTE","472.23","48907","2022","3","CATERPILLAR","2022-03-18T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","142","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","1.19"
"0","ISLA FUERTE","501.74","48907","2022","3","CATERPILLAR","2022-03-19T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","143","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","1.26"
"0","ISLA FUERTE","0","48907","2022","3","CATERPILLAR","2022-03-20T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","143","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","0.00"
"0","ISLA FUERTE","501.74","48907","2022","3","CATERPILLAR","2022-03-21T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","145","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","1.26"
"0","ISLA FUERTE","354.17","48907","2022","3","CATERPILLAR","2022-03-22T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","146","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","1.00"
"0","ISLA FUERTE","560.77","48907","2022","3","CATERPILLAR","2022-03-23T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","147","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","1.41"
"0","ISLA FUERTE","501.74","48907","2022","3","CATERPILLAR","2022-03-24T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","148","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","1.26"
"0","ISLA FUERTE","531.26","48907","2022","3","CATERPILLAR","2022-03-25T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","281","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","133.00"
"0","ISLA FUERTE","383.68","48907","2022","3","CATERPILLAR","2022-03-26T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","282","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","1.00"
"0","ISLA FUERTE","0","48907","2022","3","CATERPILLAR","2022-03-27T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","282","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","0.00"
"0","ISLA FUERTE","501.74","48907","2022","3","CATERPILLAR","2022-03-28T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","284","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","1.26"
"0","ISLA FUERTE","383.68","48907","2022","3","CATERPILLAR","2022-03-29T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","285","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","1.00"
"0","ISLA FUERTE","501.74","48907","2022","3","CATERPILLAR","2022-03-30T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","286","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","1.26"
"0","ISLA FUERTE","501.74","48907","2022","3","CATERPILLAR","2022-03-31T00:00:00.000","BOLÍVAR","ISLA FUERTE","CARTAGENA DE INDIAS","287","1300100700001","400","LECTURA DE MEDIDA","SOLING DEL SINU S.A.S. E.S.P.","1.26"
