"fecha_inicio","fecha_final","departamento","municipio","tipo_tecnologia","gm","dm","cm","id_empresa","empresa","ano_repor","cod_periodo"
"2023-05-01T00:00:00.000","2023-05-31T00:00:00.000","18","753","1","1519.8167","183.2211","144.8199","22791","GENDECAR S.A. E.S.P.","2023","5"
"2023-06-01T00:00:00.000","2023-06-30T00:00:00.000","18","753","1","1514.6202","181.6267","145.4524","22791","GENDECAR S.A. E.S.P.","2023","6"
"2023-01-01T00:00:00.000","2023-01-31T00:00:00.000","18","756","1","1808.733","179.7358","176.4587","22791","GENDECAR S.A. E.S.P.","2023","1"
"2023-02-01T00:00:00.000","2023-02-28T00:00:00.000","18","756","1","1812.8382","183.1088","179.595","22791","GENDECAR S.A. E.S.P.","2023","2"
"2023-03-01T00:00:00.000","2023-03-31T00:00:00.000","18","756","1","1820.9872","185.2347","182.5773","22791","GENDECAR S.A. E.S.P.","2023","3"
"2023-04-01T00:00:00.000","2023-04-30T00:00:00.000","18","756","1","1853.4423","185.2041","184.4949","22791","GENDECAR S.A. E.S.P.","2023","4"
"2023-05-01T00:00:00.000","2023-05-31T00:00:00.000","18","756","1","1847.1019","183.2211","185.9371","22791","GENDECAR S.A. E.S.P.","2023","5"
"2023-06-01T00:00:00.000","2023-06-30T00:00:00.000","18","756","1","1841.5959","181.6267","186.7491","22791","GENDECAR S.A. E.S.P.","2023","6"
"2023-01-01T00:00:00.000","2023-01-31T00:00:00.000","19","318","1","1705.17","210.35","143.52","1892","EMPRESA DE  ENERGÍA  DE GUAPI  S.A. E.S.P.","2023","1"
"2023-02-01T00:00:00.000","2023-02-28T00:00:00.000","19","318","1","1685.43","211.48","146.64","1892","EMPRESA DE  ENERGÍA  DE GUAPI  S.A. E.S.P.","2023","2"
"2023-03-01T00:00:00.000","2023-03-31T00:00:00.000","19","318","1","1697.94","213.86","148.49","1892","EMPRESA DE  ENERGÍA  DE GUAPI  S.A. E.S.P.","2023","3"
"2023-04-01T00:00:00.000","2023-04-30T00:00:00.000","19","318","1","1711.19","210.7","150.05","1892","EMPRESA DE  ENERGÍA  DE GUAPI  S.A. E.S.P.","2023","4"
"2023-05-01T00:00:00.000","2023-05-31T00:00:00.000","19","318","1","1713.16","208.84","151.23","1892","EMPRESA DE  ENERGÍA  DE GUAPI  S.A. E.S.P.","2023","5"
"2023-06-01T00:00:00.000","2023-06-30T00:00:00.000","19","318","1","1698.47","204.12","151.89","1892","EMPRESA DE  ENERGÍA  DE GUAPI  S.A. E.S.P.","2023","6"
"2023-01-01T00:00:00.000","2023-01-31T00:00:00.000","19","418","1","1640.89","179.74","138.79","55927","EMPRESA PRESTADORA DE SERVICIOS PUBLICOS DE ACUEDUCTO  ALCANTARILLADO  ASEO  ENERGIA  TECNOLOGIAS DE LA INFORMACION Y COMUNICACIONES DE OCCIDENTE SAS","2023","1"
"2023-01-01T00:00:00.000","2023-01-31T00:00:00.000","19","418","1","1252.83","115.65","289.71","21597","COOPERATIVA DE SERVICIOS PÚBLICOS DE LÓPEZ DE MICAY","2023","1"
"2023-01-01T00:00:00.000","2023-01-31T00:00:00.000","19","418","1","1514.43","193.42","125.38","26717","EMPRESA DE SERVICIOS PUBLICOS DEL OCCIDENTE COLOMBIANO S.A.","2023","1"
"2023-01-01T00:00:00.000","2023-01-31T00:00:00.000","19","418","1","1335.69","154.31","106.51","28111","EMPRESA DE SERVICIOS PUBLICOS DE ENERGIA ELECTRICA DEL CAUCA","2023","1"
"2023-02-01T00:00:00.000","2023-02-28T00:00:00.000","19","418","1","1640.43","183.11","141.26","55927","EMPRESA PRESTADORA DE SERVICIOS PUBLICOS DE ACUEDUCTO  ALCANTARILLADO  ASEO  ENERGIA  TECNOLOGIAS DE LA INFORMACION Y COMUNICACIONES DE OCCIDENTE SAS","2023","2"
"2023-02-01T00:00:00.000","2023-02-28T00:00:00.000","19","418","1","1258.49","121.91","294.86","21597","COOPERATIVA DE SERVICIOS PÚBLICOS DE LÓPEZ DE MICAY","2023","2"
"2023-02-01T00:00:00.000","2023-02-28T00:00:00.000","19","418","1","1385.06","171.1","108.4","28111","EMPRESA DE SERVICIOS PUBLICOS DE ENERGIA ELECTRICA DEL CAUCA","2023","2"
"2023-02-01T00:00:00.000","2023-02-28T00:00:00.000","19","418","1","1500.43","194.21","127.61","26717","EMPRESA DE SERVICIOS PUBLICOS DEL OCCIDENTE COLOMBIANO S.A.","2023","2"
"2023-03-01T00:00:00.000","2023-03-31T00:00:00.000","19","418","1","1386.88","173.38","110.2","28111","EMPRESA DE SERVICIOS PUBLICOS DE ENERGIA ELECTRICA DEL CAUCA","2023","3"
"2023-03-01T00:00:00.000","2023-03-31T00:00:00.000","19","418","1","1509.67","196.55","129.73","26717","EMPRESA DE SERVICIOS PUBLICOS DEL OCCIDENTE COLOMBIANO S.A.","2023","3"
"2023-03-01T00:00:00.000","2023-03-31T00:00:00.000","19","418","1","1240.84","118.61","299.75","21597","COOPERATIVA DE SERVICIOS PÚBLICOS DE LÓPEZ DE MICAY","2023","3"
"2023-03-01T00:00:00.000","2023-03-31T00:00:00.000","19","418","1","1648.07","185.23","143.61","55927","EMPRESA PRESTADORA DE SERVICIOS PUBLICOS DE ACUEDUCTO  ALCANTARILLADO  ASEO  ENERGIA  TECNOLOGIAS DE LA INFORMACION Y COMUNICACIONES DE OCCIDENTE SAS","2023","3"
