"codigo_localidad","consumo_complementario","identificador_empresa","consumo_basico","tipo_categoria","periodo","facturacion_consumo_basico","dias_facturados","nom_mpio","consumo_residencial","fch_ini_per_factura","estrato_sector","porcentaje_subsidio","valor_refacturacion","valor_subsidio","tension","nom_dpto","nombre","fch_exp_factura","fact_consumo_complementario","ano","fact_consumo_residencial","intereses_mora","nombre_localidad","ubicacion","tipo_factura","valor_total_facturado","valor_mora","nom_poblad","tipo_conexion","codigo_conexion","niu","id_factura","tipo_lectura"
"1300100700001","0.0","48907","0.0","L","2","0","28","CARTAGENA DE INDIAS","0.0","2022-02-28T00:00:00.000","1","-0.760","0.0","0",,"BOLÍVAR","SOLING DEL SINU S.A.S. E.S.P.","2022-03-08T00:00:00.000","0.0","2022","0.0","0.0","ISLA FUERTE","R","N","0","0.0","ISLA FUERTE","P","1","6383891864442394463838918","891416188914161889141618","E"
"1300100700001","0.0","48907","24.0","L","2","25823.53","28","CARTAGENA DE INDIAS","0.0","2022-02-28T00:00:00.000","1","-0.760","0.0","-19735.69",,"BOLÍVAR","SOLING DEL SINU S.A.S. E.S.P.","2022-03-08T00:00:00.000","0.0","2022","0.0","0.0","ISLA FUERTE","R","N","6087.84","0.0","ISLA FUERTE","P","1","274066501818503551274066501","182455188182455188182455188","E"
"1300100700001","0.0","48907","45.6","L","2","49064.7","28","CARTAGENA DE INDIAS","0.0","2022-02-28T00:00:00.000","1","-0.760","0.0","-37497.8",,"BOLÍVAR","SOLING DEL SINU S.A.S. E.S.P.","2022-03-08T00:00:00.000","0.0","2022","0.0","0.0","ISLA FUERTE","R","N","11566.9","0.0","ISLA FUERTE","P","1","574297567757412770574297567","992782097992782097992782097","E"
"1300100700001","0.0","48907","40.4","L","2","43469.6","28","CARTAGENA DE INDIAS","0.0","2022-02-28T00:00:00.000","1","-0.760","0.0","-33221.74",,"BOLÍVAR","SOLING DEL SINU S.A.S. E.S.P.","2022-03-08T00:00:00.000","0.0","2022","0.0","0.0","ISLA FUERTE","R","N","10247.86","0.0","ISLA FUERTE","P","1","429210004562609683429210004","626001970626001970626001970","E"
"1300100700001","0.0","48907","55.44","L","2","59652.35","28","CARTAGENA DE INDIAS","0.0","2022-02-28T00:00:00.000","1","-0.760","0.0","-45589.44",,"BOLÍVAR","SOLING DEL SINU S.A.S. E.S.P.","2022-03-08T00:00:00.000","0.0","2022","0.0","0.0","ISLA FUERTE","R","N","14062.91","0.0","ISLA FUERTE","P","1","399014454368297312399014454","130582894130582894130582894","E"
"1300100700001","0.0","48907","0.0","L","2","0","28","CARTAGENA DE INDIAS","0.0","2022-02-28T00:00:00.000","1","-0.760","0.0","0",,"BOLÍVAR","SOLING DEL SINU S.A.S. E.S.P.","2022-03-08T00:00:00.000","0.0","2022","0.0","0.0","ISLA FUERTE","R","N","0","0.0","ISLA FUERTE","P","1","185521547158471589185521547","607797364607797364607797364","E"
"1300100700001","0.0","48907","34.5","L","2","37121.32","28","CARTAGENA DE INDIAS","0.0","2022-02-28T00:00:00.000","1","-0.760","0.0","-28370.05",,"BOLÍVAR","SOLING DEL SINU S.A.S. E.S.P.","2022-03-08T00:00:00.000","0.0","2022","0.0","0.0","ISLA FUERTE","R","N","8751.27","0.0","ISLA FUERTE","P","1","16007414159397159160074141","245992616245992616245992616","E"
"1300100700001","0.0","48907","57.6","L","2","61976.46","28","CARTAGENA DE INDIAS","0.0","2022-02-28T00:00:00.000","1","-0.760","0.0","-47365.65",,"BOLÍVAR","SOLING DEL SINU S.A.S. E.S.P.","2022-03-08T00:00:00.000","0.0","2022","0.0","0.0","ISLA FUERTE","R","N","14610.81","0.0","ISLA FUERTE","P","1","310775760792090055310775760","816044872816044872816044872","E"
"1300100700001","0.0","48907","27.9","L","2","30019.85","28","CARTAGENA DE INDIAS","0.0","2022-02-28T00:00:00.000","1","-0.760","0.0","-22942.74",,"BOLÍVAR","SOLING DEL SINU S.A.S. E.S.P.","2022-03-08T00:00:00.000","0.0","2022","0.0","0.0","ISLA FUERTE","R","N","7077.11","0.0","ISLA FUERTE","P","1","395051936752339991395051936","816617940816617940816617940","E"
"1300100700001","0.0","48907","16.8","L","2","18076.47","28","CARTAGENA DE INDIAS","0.0","2022-02-28T00:00:00.000","1","-0.760","0.0","-13814.98",,"BOLÍVAR","SOLING DEL SINU S.A.S. E.S.P.","2022-03-08T00:00:00.000","0.0","2022","0.0","0.0","ISLA FUERTE","R","N","4261.49","0.0","ISLA FUERTE","P","1","227835709160285054227835709","806444474806444474806444474","E"
"1300100700001","0.0","48907","45.9","L","2","49387.49","28","CARTAGENA DE INDIAS","0.0","2022-02-28T00:00:00.000","1","-0.760","0.0","-37744.5",,"BOLÍVAR","SOLING DEL SINU S.A.S. E.S.P.","2022-03-08T00:00:00.000","0.0","2022","0.0","0.0","ISLA FUERTE","R","N","11642.99","0.0","ISLA FUERTE","P","1","157056398998508777157056398","302232003022320030223200","E"
"1300100700001","0.0","48907","21.6","L","2","23241.17","28","CARTAGENA DE INDIAS","0.0","2022-02-28T00:00:00.000","1","-0.760","0.0","-17762.12",,"BOLÍVAR","SOLING DEL SINU S.A.S. E.S.P.","2022-03-08T00:00:00.000","0.0","2022","0.0","0.0","ISLA FUERTE","R","N","5479.05","0.0","ISLA FUERTE","P","1","4403445289413803644034452","431782135431782135431782135","E"
"1300100700001","0.0","48907","66.6","L","2","71660.29","28","CARTAGENA DE INDIAS","0.0","2022-02-28T00:00:00.000","1","-0.760","0.0","-54766.53",,"BOLÍVAR","SOLING DEL SINU S.A.S. E.S.P.","2022-03-08T00:00:00.000","0.0","2022","0.0","0.0","ISLA FUERTE","R","N","16893.76","0.0","ISLA FUERTE","P","1","7982844132920649079828441","658534724658534724658534724","E"
"1300100700001","0.0","48907","19.2","L","2","20658.82","28","CARTAGENA DE INDIAS","0.0","2022-02-28T00:00:00.000","1","-0.760","0.0","-15788.55",,"BOLÍVAR","SOLING DEL SINU S.A.S. E.S.P.","2022-03-08T00:00:00.000","0.0","2022","0.0","0.0","ISLA FUERTE","R","N","4870.27","0.0","ISLA FUERTE","P","1","313556964697832741313556964","976837442976837442976837442","E"
"1300100700001","0.0","48907","64.8","L","2","69723.52","28","CARTAGENA DE INDIAS","0.0","2022-02-28T00:00:00.000","1","-0.760","0.0","-53286.35",,"BOLÍVAR","SOLING DEL SINU S.A.S. E.S.P.","2022-03-08T00:00:00.000","0.0","2022","0.0","0.0","ISLA FUERTE","R","N","16437.17","0.0","ISLA FUERTE","P","1","551167431807275211551167431","460182303460182303460182303","E"
"1300100700001","0.0","48907","0.0","L","2","0","28","CARTAGENA DE INDIAS","0.0","2022-02-28T00:00:00.000","1","-0.760","0.0","0",,"BOLÍVAR","SOLING DEL SINU S.A.S. E.S.P.","2022-03-08T00:00:00.000","0.0","2022","0.0","0.0","ISLA FUERTE","R","N","0","0.0","ISLA FUERTE","P","1","230249886521845598230249886","634071648634071648634071648","E"
"1300100700001","0.0","48907","35.4","L","2","38089.7","28","CARTAGENA DE INDIAS","0.0","2022-02-28T00:00:00.000","1","-0.760","0.0","-29110.14",,"BOLÍVAR","SOLING DEL SINU S.A.S. E.S.P.","2022-03-08T00:00:00.000","0.0","2022","0.0","0.0","ISLA FUERTE","R","N","8979.56","0.0","ISLA FUERTE","P","1","19779096845443525197790968","294471897294471897294471897","E"
"1300100700001","0.0","48907","52.8","L","2","56811.76","28","CARTAGENA DE INDIAS","0.0","2022-02-28T00:00:00.000","1","-0.760","0.0","-43418.51",,"BOLÍVAR","SOLING DEL SINU S.A.S. E.S.P.","2022-03-08T00:00:00.000","0.0","2022","0.0","0.0","ISLA FUERTE","R","N","13393.25","0.0","ISLA FUERTE","P","1","294982435121067138294982435","348952263348952263348952263","E"
